M,N,K,Time (msec),TERAFLOPS,haha
512,8,500000,1.45,2.82,Language Modelling
1024,8,500000,2.469,3.32,Language Modelling
512,16,500000,1.46,5.6,Language Modelling
1024,16,500000,2.49,6.58,Language Modelling
1760,7000,1760,3.08,14.07,DeepSpeech
2048,16,2048,0.04,3.27,DeepSpeech
2048,32,2048,0.04,6.39,DeepSpeech
2048,64,2048,0.06,9.26,DeepSpeech
2048,128,2048,0.1,11.07,DeepSpeech
2048,7000,2048,4,14.67,DeepSpeech
2560,16,2560,0.05,4.19,DeepSpeech
2560,32,2560,0.05,8.07,DeepSpeech
2560,64,2560,0.07,11.98,DeepSpeech
2560,128,2560,0.12,13.87,DeepSpeech
2560,7000,2560,6.36,14.42,DeepSpeech
4096,16,4096,0.1,5.16,DeepSpeech
4096,32,4096,0.11,10.23,DeepSpeech
4096,64,4096,0.17,12.63,DeepSpeech
4096,128,4096,0.36,12.03,DeepSpeech
4096,7000,4096,16.25,14.45,DeepSpeech
1760,7133,1760,3.14,14.09,DeepSpeech
2048,7133,2048,4.11,14.58,DeepSpeech
2560,7133,2560,6.22,15.04,DeepSpeech
4096,7133,4096,18.52,12.93,DeepSpeech
5124,9124,1760,12.274,13.41,DeepSpeech
35,8457,1760,0.192,5.43,DeepSpeech
5124,9124,2048,15.26,12.55,DeepSpeech
35,8457,2048,0.22,5.59,DeepSpeech
5124,9124,2560,17.84,13.42,DeepSpeech
35,8457,2560,0.25,5.97,DeepSpeech
5124,9124,4096,28.4,13.48,DeepSpeech
35,8457,4096,0.38,6.41,DeepSpeech
7680,16,2560,0.12,5.24,DeepSpeech
7680,32,2560,0.13,9.99,DeepSpeech
7680,64,2560,0.198,12.71,DeepSpeech
7680,128,2560,0.37,13.6,DeepSpeech
3072,16,1024,0.03,2.96,DeepSpeech
3072,32,1024,0.04,5.75,DeepSpeech
3072,64,1024,0.05,8.39,DeepSpeech
3072,128,1024,0.08,10.07,DeepSpeech
3072,7435,1024,3.4,13.77,DeepSpeech
7680,5481,2560,16.63,12.96,DeepSpeech
1760,16,1760,0.04,2.61,DeepSpeech
1760,32,1760,0.04,4.96,DeepSpeech
1760,64,1760,0.05,7.62,DeepSpeech
1760,128,1760,0.09,9.01,DeepSpeech
1024,700,512,0.07,10.79,Speaker ID
7680,24000,2560,67.96,13.89,DeepSpeech
6144,24000,2048,43.57,13.86,DeepSpeech
4608,24000,1536,24.46,13.89,DeepSpeech
8448,24000,2816,82.41,13.86,DeepSpeech
3072,24000,1024,10.89,13.86,DeepSpeech
7680,48000,2560,135.37,13.94,DeepSpeech
6144,48000,2048,87.21,13.85,DeepSpeech
4608,48000,1536,48.91,13.89,DeepSpeech
8448,48000,2816,164.53,13.88,DeepSpeech
3072,48000,1024,21.75,13.89,DeepSpeech
6144,16,2048,0.09,4.52,DeepSpeech
4608,16,1536,0.05,4.36,DeepSpeech
8448,16,2816,0.14,5.64,DeepSpeech
6144,32,2048,0.09,9.36,DeepSpeech
4608,32,1536,0.05,9.06,DeepSpeech
8448,32,2816,0.14,11.03,DeepSpeech
512,24000,2816,4.82,14.36,DeepSpeech
512,24000,2048,3.59,14.04,DeepSpeech
512,24000,2560,4.45,14.13,DeepSpeech
512,24000,1530,2.96,12.71,DeepSpeech
1024,24000,2816,9.81,14.11,DeepSpeech
1024,24000,2048,7.85,12.82,DeepSpeech
1024,24000,2560,9.29,13.54,DeepSpeech
1024,24000,1530,5.9,12.75,DeepSpeech
512,16,512,0.01,0.65,DeepSpeech
1024,16,512,0.01,1.2,DeepSpeech
512,48000,2816,9.81,14.11,DeepSpeech
512,48000,2048,7.8,12.9,DeepSpeech
512,48000,2560,9.85,12.77,DeepSpeech
512,48000,1530,5.85,12.85,DeepSpeech
1024,48000,2816,19.73,14.03,DeepSpeech
1024,48000,2048,14.19,14.19,DeepSpeech
1024,48000,2560,17.7,14.22,DeepSpeech
1024,48000,1530,10.71,14.05,DeepSpeech
512,32,512,0.01,1.2,DeepSpeech
1024,32,512,0.01,2.4,DeepSpeech
